team,defending_score
Augsburg,1.3115929878274297
Bayer Leverkusen,0.5456246120692391
Bayern Munich,1.0312362379095663
Bochum,1.6048250491015903
Borussia Dortmund,0.9573628456980317
Borussia M.Gladbach,1.474881886068498
Darmstadt,1.8417861019596624
Eintracht Frankfurt,1.093524867579521
FC Cologne,1.2811068040564508
FC Heidenheim,1.2019400365462407
Freiburg,1.260911851256272
Hoffenheim,1.4689324833456554
Mainz 05,1.1012919763482298
RasenBallsport Leipzig,0.8765430743230661
Union Berlin,1.2448788866016998
VfB Stuttgart,0.8775000000301543
Werder Bremen,1.177483714148792
Wolfsburg,1.2121100284837647
